Compound,C_Label,BAT-xz971,BAT-xz972,Br-xz971,Br-xz972,Dia-xz971,Dia-xz972,gas-xz971,gas-xz972,gWAT-xz971,gWAT-xz972,H-xz971,H-xz972,Kid-xz971,Kid-xz972,Liv-xz971,Liv-xz972,Lu-xz971,Lu-xz972,Pc-xz971,Pc-xz972,Q-xz971,Q-xz972,SI-xz971,SI-xz972,Sol-xz971,Sol-xz972,Sp-xz971,Sp-xz972,BAT-xz981,BAT-xz982,Br-xz981,Br-xz982,Dia-xz981,Dia-xz982,gas-xz981,Gas-xz982,gwat-xz981,gwat-xz982,H-xz981,H-xz982,Kd-xz981,Kd-xz982,Liv-xz981,Liv-xz982,Lu-xz981,Lu-xz982,Pc-xz981,Pc-xz982,Q-xz981,Q-xz982,SI-xz981,SI-xz982,sol-xz981,sol-xz982,Sp-xz981,Sp-xz982
table sugar,0,9553199.89089051,15062527.0535648,481379.86936945,1214183.28489506,6352156.80617231,9843282.53706718,7311072.86675868,6591031.60277095,10836076.4698844,7035582.28886504,8844540.09492132,6381201.36373937,28612722.4768523,11268746.076415,40317702.5863575,28717912.9394154,11705516.2980777,19940447.1432019,6646281.04684818,6862170.79993534,9169550.94179012,2922071.63657269,16907675.4611845,59306.2412670557,2537065.36340793,3401333.73672872,8223461.12954158,7686201.3011344,1858098.90922141,496958.276171188,940317.760827993,1105504.37737504,16365111.793937,22326400.7878471,12572665.5949376,16690807.4258361,2908265.85475714,1487821.77583354,4281853.84822075,6138834.30670162,21133407.3022178,18423492.2048423,63943251.6492433,66653756.954508,21132694.4094933,22541773.8202843,8374489.11399613,8871073.2430463,12572038.9910515,11271950.7233018,4789024.25813281,4286778.78612938,4739683.60820727,4585710.94303639,11487828.361203,10816139.0813031
table sugar,1,20483.7859878915,304251.127581638,0,0,0,97670.9913475277,0,32261.5062209195,0,84441.856105066,0,52232.7343754228,103580.686176551,333776.834090188,168375.15975918,420753.027868518,0,246217.216726184,0,62558.7560682291,3678.48804379738,0,45362.039738888,300.405003555961,0,7266.31318209259,0,28078.4193194054,0,0,0,0,108935.447057702,100107.536640945,4671.6028524493,55243.8796548025,5692.03111258033,0,0,19305.8722755231,175292.126415487,203214.593242105,416324.563562233,329304.64463696,246590.027357886,239652.3369945,55328.3043663365,63956.9349854147,67344.9779964431,13694.773691077,20916.973705803,19176.6407548093,0,15090.8904685636,102810.448576329,90198.2655418714
table sugar,2,7796.52408420879,92931.1888677404,0,5672.58060079714,6139.25245298429,61770.4047750204,4548.2422476682,78015.0943092904,5748.49218415035,50072.3348712799,15947.4322663587,34938.7371011371,31611.6227309111,40093.4693777176,47831.837990903,262581.561801322,17062.5625690976,152206.664187692,7056.08051566632,39923.1941009819,10273.7308253397,12236.4847528798,26900.7166866422,0,0,24555.8392918967,14684.2760272978,44338.2705894233,2534.02186686463,0,0,0,33162.4529812225,29099.8837637742,10582.4086009912,9887.36342970724,5304.46109892698,0,13745.5607394682,9587.9339421204,44818.2021411212,38502.9708570024,65336.0964087474,79247.5143283722,43902.3081799772,53369.1091716178,18144.8755929898,12639.1058786699,9315.92080955955,1803.65265672717,13999.9575166694,6286.64621058398,6615.17640825581,6641.52718979514,22913.1873796554,23451.9762543585
table sugar,3,17014.4015267969,105644.81599401,0,5625.8558944717,7089.49264781115,70741.4218404868,0,27892.82519817,7942.90774143236,49712.8163659773,11076.4819652741,41374.7569908251,41976.3086653958,3664.06346105024,65245.0274485905,216497.551956311,13429.7036676215,136751.235170951,11608.2757786005,47488.2854036486,12093.5619426816,16607.145576227,15492.6598167984,0,3527.32708542237,17017.6647470827,11564.9639029625,48907.9575910219,1725.20353979486,0,0,0,22316.322925077,22779.9448492973,10930.6449676965,13292.8765983544,5310.38603295505,906.011990236243,5158.9172887859,10125.6042663541,29239.6586744347,29267.1173593268,70259.3898790956,82562.2962745327,34880.6338801273,34245.3053342007,10944.997535387,14457.0206158794,7517.95887844618,6444.0558255373,3955.95863998258,9227.46886957698,4735.26495611817,6190.00344886158,22133.9914683107,17244.7160478856
table sugar,4,618.081651788915,0,0,0,0,87.7442690354092,0,0,0,0,0,0,0,0,0,259.535075413529,0,0,0,0,1108.49326287298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386.663909053,0,0,630.495275238018,0,0,0,0,0,0,0,0,0,0
table sugar,5,0,0,0,0,0,0,0,0,6191.55863568415,0,1540.28639733884,0,0,0,0,0,0,0,0,2654.4812212201,0,0,0,1017.1019526773,0,0,0,1559.98085367865,0,0,1160.75836292814,0,2850.74165093019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097.72129607558,1036.13483294562,0,0
table sugar,6,0,0,0,0,0,0,1086.84542782207,0,0,0,0,0,0,0,0,0,0,0,2135.9480285498,0,3136.57467784508,0,1907.72300355334,0,3414.35106837923,0,0,0,0,0,0,1945.29461958761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1448.02223697773,1128.27551804945,0,2055.12338558302
