Compound	bat-xz969	bat-xz970	Br-xz969	Br-xz970	dia-xz969	dia-xz970	gas-xz969	gas-xz970	gwat-xz969	gwat-xz970	H-xz969	H-xz970	Kid-xz969	Kid-xz970	Liv-xz969	Liv-xz970	Lu-xz969	Lu-XZ970	Pc-xz969	Pc-xz970	q-xz969	q-xz970	si-xz969	si-xz970	sol2-xz969	sol-xz969	sol-xz970	Sp-xz969	Sp-xz970	BAT-xz979	Br-xz979	Dia-xz979	Gas-xz979	gwat-xz979	H-xz979	Kd-xz979	Liv-xz979	Lu-xz979	Pc-xz979	Q-xz979	SI-xz979	Sol-xz979	Sp-xz979
glucose	203286.917004701	6553094.66105874	449362.559195594	847550.595309415	10602.4059316212	10599326.5674458	4722.95916417703	4368015.94967867	7272.38754042971	16322.5776870956	5777816.51382836	7076.05506323568	74254.6282150457	16384790.3675582	11580987.128495	12478513.9987952	11593200.4071505	6532237.97367114	897049.689095819	5089813.68581354	42268.441838389	3407366.50280146	17133.5742449987	8933.9741729897	194912.517536519	9619.73769583683	1739251.97726888	2998159.26962268	7421311.9891702	2025923.83153783	2342889.53474774	24810182.8754655	7078183.64246382	3131509.95013221	10765745.1818248	41526771.733495	42238620.214678	13075251.7194225	14548603.8031933	3213467.70401609	8463444.35967903	3674845.91869287	29625672.0629944
lactate	1868424.01829666	46886254.7457009	97494444.0385652	116750528.925918	469515.396080299	73109688.9433474	453779.352970559	144672822.559038	532641.9913425	477455.002527849	172998790.573466	722281.846979546	728322.487920332	56825651.3967803	10160505.6018413	16132117.1539765	62806212.2124751	44582664.0430823	10049085.170329	20042274.3657198	2476771.57491024	117505925.74821	401221.135056569	738036.32706195	53325494.6426053	772569.326627673	111429427.381007	30329148.0354912	28128381.644647	52233967.9844788	236220475.816202	112505797.236809	99833193.7768892	4685530.94913684	185998577.852545	99112616.4051012	31452402.4415255	35263153.3184623	27949747.1901115	113159176.04713	130802357.819293	64480843.4748931	44350361.2627601
pyruvate	2556.80657680904	891774.172379444	449526.525411641	445868.465314473	2606.99526812763	2993433.39124508	769.39003854105	16614420.7697219	1829.83892730907	1324.43350301027	1282231.76344157	1720.69022086905	2020.27002330432	461912.829261351	100970.861897918	56341.0918512541	4940419.1699157	346566.965971915	37008.4152334205	508897.096883502	269.178577130433	7860053.06333103	1393.26489653193	3633.32957148775	671454.060779318	1328.41782174101	5565048.82574717	798105.222424744	5609373.21950641	30951014.8397252	9169792.9121969	18146916.7946339	104338892.252246	20411184.4835912	12184847.5680799	15064124.3629221	20832501.1675427	25164778.8465978	34260584.3969284	179931132.580748	380164793.75313	51995430.2339208	105507393.445633
citrate/isocitrate	19007.2884461816	4988744.74504474	2965615.44821133	4899700.82943632	11720.2534812889	18474417.6431991	13415.1879907388	8060906.15483187	41004.2006619489	26301.5124374481	13278455.1086846	51019.6188268756	22493.7533010653	22040761.3656619	733120.730362422	1688279.76152709	7557062.26082007	4764948.02968418	922965.511691092	32524994.7753544	34355.8570061347	9620561.12433997	10365.969558208	14674.1510185935	281311.570854142	18361.4942350915	17592989.7865922	2085053.3109351	34212876.1149453	228094.034863095	19348882.3650216	40831965.0829573	16290485.1352555	744991.113613005	38711148.2003601	93054365.4865874	41720477.6875266	3787927.25397544	43625054.0173308	14162745.5143451	31812651.9447284	9802597.76356527	58011265.5805536
succinate	3521992.24116209	101964501.099964	46893126.1108484	53548626.3346597	391578.836396395	78667419.6598832	245345.920869907	41997220.9212	194983.36145783	183083.319291674	189982586.224637	543372.780681852	763328.299589618	79047670.5813177	16411335.3305227	20350413.7412928	8841458.03765285	8073131.93959061	6116294.80423351	28241949.3908696	623017.16686253	74127817.8472488	317715.315347637	451600.658848689	787028.899070004	699747.16289369	68582514.7691838	6038579.60540947	10944336.6569465	17990655.797103	42529959.0598453	78934660.3339328	26782137.4228531	1326087.57416221	148933540.681508	64687774.2049014	28390376.82143	4697787.43649742	9899471.25320925	35168973.0365573	30547985.5462156	24356381.9802307	7106554.80094207
malate	147618.353762847	18747881.9605967	28476984.763245	31920771.8912189	76656.6490021574	86450672.643036	63688.1007504824	42677501.4111616	303893.19124768	112385.189870172	64971024.9972776	238169.06124119	177203.326752038	65636241.0437984	16191040.5092676	17482647.5946243	35873821.3221372	24404433.7792881	5047647.74385292	30260808.3764348	190707.722322022	45727059.3913687	50094.1819664062	87635.9681687628	490701.671850834	123516.232104053	83704056.2348745	13336378.6199709	38967147.673693	9577747.12727144	64413730.4971642	182718922.775241	60181227.0836075	6809391.10236686	97685111.5867128	125096190.006566	62756973.3324145	22374898.3808878	31077877.547782	42989360.3336011	74168846.1452564	78870626.67348	67637547.5108251
a-ketoglutarate	16165.4176796788	1636424.54287172	1618507.3821134	2032282.51967521	4019.20649429019	3467540.38346307	4422.92503872226	2479059.16239925	2827.97027126935	4848.17186293378	1901862.7793605	3286.82036006357	7511.52891570596	1652873.29384638	474231.809380001	391746.290476748	4522920.35186097	2488448.17080272	546048.181392835	4082896.65539682	9669.48596952925	2135356.90592432	20392.0201669952	18658.7378770243	124900.742736944	8274.9093589432	2518323.83367042	3019514.35956013	9908696.09502122	109609.406223487	6001490.51058012	3978878.89189613	1756667.03811515	1493372.14394187	3298582.01231915	2575393.96376693	2395121.40230645	1501091.45796217	2940233.31247615	891279.288925145	23779343.3851238	2031766.27556425	10765140.3207939
