Name	Formula	m/z	RT	HMDB_ID	NAME	CHEMICAL_FORMULA	AVERAGE_MASS	MONO_MASS	SMILES	INCHIKEY
lysine	C6H14N2O2	145.09825	17.53	HMDB0000182	L-Lysine	C6H14N2O2	146.1876	146.105527702	NCCCC[C@H](N)C(O)=O	KDXKERNSBIXSRK-YFKPBYRVSA-N
glucose	C6H12O6	179.05611	11.75	HMDB0000122	D-Glucose	C6H12O6	180.1559	180.063388116	OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O	WQZGKKKJIJFFOK-VFUOTHLCSA-N
lactate	C3H6O3	89.02442	7.8	HMDB0000190	L-Lactic acid	C3H6O3	90.0779	90.031694058	C[C@H](O)C(O)=O	JVTAAEKCZFNVCJ-REOHCLBHSA-N
