Compound	C_Label	BAT-xz971	BAT-xz972	Br-xz971	Br-xz972	Dia-xz971	Dia-xz972	gas-xz971	gas-xz972	gWAT-xz971	gWAT-xz972	H-xz971	H-xz972	Kid-xz971	Kid-xz972	Liv-xz971	Liv-xz972	Lu-xz971	Lu-xz972	Pc-xz971	Pc-xz972	Q-xz971	Q-xz972	SI-xz971	SI-xz972	Sol-xz971	Sol-xz972	Sp-xz971	Sp-xz972	BAT-xz981	BAT-xz982	blank	Br-xz981	Br-xz982	Dia-xz981	Dia-xz982	gas-xz981	Gas-xz982	gwat-xz981	gwat-xz982	H-xz981	H-xz982	Kd-xz981	Kd-xz982	Liv-xz981	Liv-xz982	Lu-xz981	Lu-xz982	Pc-xz981	Pc-xz982	Q-xz981	Q-xz982	SI-xz981	SI-xz982	sol-xz981	sol-xz982	Sp-xz981	Sp-xz982
citrate/isocitrate	4	0	0	0	0	0	0	0	0	0	1974.550238	0	0	0	0	1227.308663	3173.956052	0	7884.793251	0	827.101107	0	0	0	0	0	1433.941821	0	0	0	0	0	7150.603965	0	3739.220382	0	0	0	0	0	2076.299221	0	5559.312303	0	11571.58844	702.4256824	0	0	0	0	0	3842.085409	0	0	1254.981065	0	0	0
citrate/isocitrate	5	2562.321987	0	0	0	0	0	0	2219.834681	0	0	0	0	16288.52753	9576.864546	8889.087054	3639.481885	5069.795317	8678.668938	6240.722036	2692.318576	0	0	0	0	0	0	0	6583.795719	0	0	0	2081.061886	0	0	0	0	0	0	0	0	0	0	0	7344.895034	8923.820328	0	0	0	0	0	0	0	5755.082482	0	0	0	0
citrate/isocitrate	6	0	3843.731738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2162.377527	5605.183435	4072.269962	17076.14469	93308.91361	0	0	0	0	0	0	0	0	0	0	0	0	24113.13931	3736.35317	4087.055217	3283.995611	66876.26977	73417.90504	2723.438494	2660.476288
succinate	0	149793836.8	208862120.1	75001873.32	119178471.6	147682024.7	87972364.38	76056684.89	91769557.02	6249895.872	2843666.331	195154687.5	235233580.4	159285812.4	65802111.48	63925424.83	66659517.4	7695295.374	15506564.78	29115157.34	49360610.06	78694049.62	30063120.74	41246153.54	3576717.683	88503291.27	113919909.2	25633984.6	41982058.32	39135166.74	26476726.26	327786.6331	57380394.25	61179692.82	97254972.25	70566776.77	48627774.98	59281298.22	4042342.524	2692817.439	156120240.9	143459890.9	95669683.34	89760515.69	48836590.49	50207280.13	17932354.07	16666576.23	41769499.66	27741069.99	45886274.14	50211078.66	41665540.66	40610212.52	56012564.87	59808834	25843525.09	29218916.99
succinate	1	294598.8404	943142.9192	199922.5864	2593570.044	493480.2514	685455.4369	209973.1364	732422.2469	0	0	308363.2135	1063236.369	511837.5011	2397336.332	192532.88	1054320.35	0	56581.4356	27045.33374	899624.3126	200685.1377	172068.2107	70382.87636	0	339567.8613	1001508.784	26804.46961	322218.8275	187713.3271	143567.6891	0	653160.242	489675.3821	743318.281	647913.5499	342867.8274	446258.2494	0	0	597046.2982	743778.1665	1033529.678	1203067.709	556727.7833	625552.7258	106256.8656	95190.52485	480083.8358	297390.0956	217254.9654	248843.2346	326864.1226	368843.7228	298376.0434	437913.2988	168717.572	199603.6458
succinate	2	0	101541.9443	64370.28646	698181.9137	33243.19097	146043.4708	12379.59474	170880.636	0	0	11913.78193	209169.0055	77545.25839	1042848.721	65485.44594	535600.132	0	5005.009067	20129.99627	355235.3496	0	45835.13316	15333.70812	0	641.6094324	184547.2227	0	132137.3647	12745.0067	6841.904221	0	82777.03037	93067.33882	86642.45956	141803.4372	33970.97897	57128.46123	0	0	65231.09249	66487.57235	351258.5338	288858.5824	305915.8148	316128.1041	2771.24229	5225.538032	118291.2494	69779.94225	24805.23158	2720.316682	123491.1746	138212.4877	65588.56156	68242.95353	62319.48291	74778.01267
succinate	3	0	44595.18144	5096.791412	39848.79371	0	47537.44799	3706.672211	9689.781039	0	0	0	25048.98866	12745.53769	22812.76369	69243.91532	489619.7628	0	2151.642666	0	36927.25081	0	4234.37644	0	0	4626.682336	25316.33708	0	3330.546877	2855.511756	2491.129525	0	9196.73365	13596.73526	8197.080398	14703.63512	2228.669602	217.3696266	0	0	7693.669558	0	24675.00945	22778.17729	72104.06907	99456.27749	2053.803732	2215.660637	16773.16191	4943.686166	2882.494223	1343.194102	11747.84517	3140.886635	4685.887907	303.3171306	1436.031981	2325.634171
succinate	4	0	9386.2827	0	0	0	0	0	0	0	0	0	0	0	0	23586.66759	191865.0997	0	0	0	9394.98883	0	0	0	0	0	0	0	0	0	0	0	3802.820901	0	3354.826603	0	0	0	0	0	0	0	0	3272.620241	36354.31151	43871.494	0	0	4655.255041	0	0	0	0	1816.286496	0	0	0	2034.970595
malate	0	38491556.9	45468086.9	64187107.97	91451022.7	253786349.7	154377982.6	95170009.4	77506838.49	26859477.64	3398024.575	139581814	107856762	145924173.3	60465359.92	112085667.3	67882193.74	42294317.41	78139509.85	87026836.63	53923916.09	103945504.9	11948816.27	83326874.03	1055604.429	160730550.2	126886646	64081706.58	76659484.12	7852712.286	3661484.674	556134.8484	82577795.8	77185139.07	176583765.1	158605696.2	41663772.82	49170431.83	9124430.406	3774651.324	140635771.5	139579475.3	76552803.33	68199670.65	36054561.19	36795733.63	64081942.04	59954393.05	61855980.02	40180871.71	38172537.43	34050215.89	179752875.9	119482920.1	99184865.33	98022504.96	69576919.39	70422449.22
malate	1	58874.18182	339842.3299	171361.7369	2065060.444	801362.3296	1356503.574	287607.6597	617255.6552	42541.36126	0	508960.252	583501.934	758633.2408	2222407.448	683456.078	775966.5346	0	799004.4856	347625.9518	735590.6485	443533.7406	66541.31427	227371.4537	0	587909.0496	1051959.962	136838.7963	753548.5259	10574.60974	0	0	1110835.698	1063585.249	1479765.792	1574829.951	79827.83305	222176.8525	33307.94776	0	860443.3218	742344.7597	848020.0013	754784.1555	537892.9569	443978.0109	112677.8687	452169.9754	638201.8226	322659.848	236187.6113	52691.31557	1808112.945	1189685.972	642613.1558	556146.7962	501818.0659	547009.0616
malate	2	6030.535098	61169.22844	46947.91168	478409.3731	76421.50843	279046.1063	36160.29071	197363.512	11946.37698	4086.177252	4006.887206	105836.8837	36118.52484	743847.5718	118901.4299	404790.7522	17004.02885	167808.5408	67917.2591	317888.5736	41070.30459	32781.40906	40114.88944	967.2248771	55743.96914	198779.225	36712.87681	299347.8807	6770.386896	691.8113171	0	140097.0896	128746.9774	203113.3735	372970.4101	47770.08911	57633.8031	17619.12892	7659.497731	45771.91075	52970.74029	183426.1992	186767.3385	100500.0525	103357.1652	98302.01075	53708.6365	158387.2721	104039.5848	39892.98426	19488.93968	556738.1092	326465.5967	84972.365	92959.81875	191110.8665	186071.6454
malate	3	0	12619.23408	0	43057.55351	4344.742241	55745.99686	3514.48112	2013.206766	0	5523.897442	0	7485.200702	15813.3819	18816.85306	85649.83065	332014.025	0	37004.75438	16620.4776	36188.76431	0	712.0118486	0	0	0	20179.60393	0	7878.772397	2326.757596	0	0	32640.92613	22640.33752	26449.80079	552.0143188	0	0	681.5986141	0	10312.88191	2987.10671	21160.08246	21158.40691	27020.58338	40783.41506	12534.74367	13931.27574	32326.83626	17533.63173	1683.257583	0	51825.74304	26343.53001	6781.354668	0	10559.16574	8281.364843
malate	4	0	0	0	0	0	0	0	6517.762946	0	0	0	0	0	0	31421.19436	104407.7762	0	0	0	9101.01458	0	0	4706.635018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9329.578542	0	14431.30518	16591.92962	0	0	0	0	0	0	0	0	0	0	0	0
a-ketoglutarate	0	1618695.117	2370309.158	1691803.114	2308007.58	9839548.407	16140448.16	2557233.931	1923481.856	5463092.419	1640536.933	2377429.143	2524404.851	1860590.884	658097.2684	1584209.571	1169486.899	7949833.98	14429919.2	8920945.536	5887775.83	2742005.845	543075.6947	12289806.16	334283.2734	5170725.019	3012390.202	9649310.275	5408144.166	115691.3362	53651.4602	6258.884439	3992706.958	4160537.597	2338761.065	2251235.736	1376947.147	1214136.374	1573168.19	778252.2983	2120150.334	1808458.662	1954756.981	2103089.946	1215346.938	1108743.974	6147892.383	7643053.143	4337411.054	3447800.308	847714.4423	588675.6087	5693213.753	6104069.508	1174600.597	1084696.781	4063246.719	4447316.612
a-ketoglutarate	1	0	0	0	4863.859093	0	14844.19479	0	0	0	0	0	0	0	5300.314393	0	0	0	41413.80471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a-ketoglutarate	2	0	0	0	15053.32154	2662.987938	36543.29605	438.5898658	6147.745831	4392.284042	3769.729416	0	4232.64467	0	11871.67076	0	4570.726133	4759.636549	46380.66917	6979.920676	40561.63795	0	0	8495.553235	627.7575223	340.0379057	4386.594969	8272.320784	22451.16708	0	0	0	8360.49938	9777.177823	2216.335032	3209.751847	830.007658	0	2316.084678	0	0	0	3079.62241	2754.991186	598.2505606	0	8732.893811	14414.52978	11662.09094	10509.23219	156.69864	0	22132.192	26626.43296	0	0	12480.6468	8366.85171
a-ketoglutarate	3	0	0	0	0	0	4249.829274	0	0	0	0	0	0	0	0	0	0	0	3930.463982	0	5264.471807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435.7511849	0	1238.168836	0	0	1378.562074	0	0	0	0	999.8626521
a-ketoglutarate	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a-ketoglutarate	5	0	0	1162.309086	0	0	1513.322998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1354.034617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1809.539049	0	920.7533034	0	0	0	0	0	0	0	0	0	0	0
