Compound	C_Label	BAT-xz971	BAT-xz972	Br-xz971	Br-xz972	Dia-xz971	Dia-xz972	gas-xz971	gas-xz972	gWAT-xz971	gWAT-xz972	H-xz971	H-xz972	Kid-xz971	Kid-xz972	Liv-xz971	Liv-xz972	Lu-xz971	Lu-xz972	Pc-xz971	Pc-xz972	Q-xz971	Q-xz972	SI-xz971	SI-xz972	Sol-xz971	Sol-xz972	Sp-xz971	Sp-xz972	BAT-xz981	BAT-xz982	blank	Br-xz981	Br-xz982	Dia-xz981	Dia-xz982	gas-xz981	Gas-xz982	gwat-xz981	gwat-xz982	H-xz981	H-xz982	Kd-xz981	Kd-xz982	Liv-xz981	Liv-xz982	Lu-xz981	Lu-xz982	Pc-xz981	Pc-xz982	Q-xz981	Q-xz982	SI-xz981	SI-xz982	sol-xz981	sol-xz982	Sp-xz981	Sp-xz982
lactate	3	0.001645797395	0.002015257036	0.0007324969856	0.002397764001	0.0008726986731	0.00211511809	0.0009856795022	0.0008565914393	0.003150774567	0.002927331484	0.0004122562789	0.0008113168283	0.0009852605295	0.001313065924	0.002589332905	0.002911924111	0.0007967824424	0.001208690433	0.001753987483	0.002040559625	0.0007858850069	0.0007886017568	0.001013670719	0.002960532991	0.001456660077	0.002259473068	0.00156809316	0.002145177494	0.0005913482863	0.0004777705097	0	0.0005054148747	0.0004906828124	0.0003935481098	0.0004327694875	0.0001100706482	0.0001780414754	0.0009783052624	0.001019622108	0.0002626416493	0.0002732736639	0.0003578761529	0.0004823817686	0.000497357162	0.0005725837427	0.000252015968	0.0002871149824	0.0005035670972	0.0003398596449	0.000112503168	0.0001812492106	0.0005881166247	0.0006018710491	0.0002808678461	0.0004007293099	0.0006132511632	0.0005985060088
pyruvate	0	0.9986599778	0.9988976969	1	0.9983047234	1	0.9962284903	0.9993403921	0.9947134123	1	0.9993765123	1	0.9987651419	1	1	1	1	0.9998030982	0.9939054405	1	0.9986533892	0.9978104992	1	0.9992483171	0.7905483012	0.9989078729	0.9965397204	0.9997592532	0.9991618785	0.9999228019	0.9988617208	1	1	0.92610165	0.9991482193	0.9990772132	0.9976782113	0.9998664598	0.9986146994	0.9973494242	0.9994459899	0.9994956458	0.999774377	0.9989696046	0.9972356178	0.9966434114	0.9962259696	0.9963822912	0.9979996984	0.999463747	0.9966676138	0.9970121629	0.9949347697	0.996310627	0.9986854922	0.9975828787	0.9987835319	0.9979484724
pyruvate	1	0	0	0	0	0	0	0.00024658336	0.004065061982	0	0	0	0	0	0	0	0	0	0.004024365556	0	0	0.001895937778	0	0	0.2094516988	0	0	0	0	0	0	0	0	0	0	0	0.002083559736	0	0.0002212005037	0.002080443147	0	0	0	0	0.001372645782	0.001677105335	0.003022994361	0.002959332564	0.001379197824	0	0.003182654078	0.002835296783	0.003584311881	0.002501804616	0.000113272795	0.001282186448	0	0.001331108437
pyruvate	2	0	0.0005857546389	0	0.001695276578	0	0.00184709853	0	0.0005051673154	0	0.00008449669187	0	0.0009012014374	0	0	0	0	0.0001969017892	0.0009666870118	0	0.000320413303	0.00008293979779	0	0.0002962410152	0	0	0.001832640454	0	0.0002006929441	0.0000771980934	0	0	0	0	0.0005149212979	0	0	0.00008227984214	0.0004956388859	0.0002604508514	0	0	0	0.0007060109136	0.0009458396222	0.0009182605669	0.0001995363476	0.0003558097931	0.0006211037536	0.0003361423932	0.00002340059874	0	0.0008045410118	0.0005882126698	0.0004752966951	0.0003842152991	0.0005480629884	0.0002931975973
pyruvate	3	0.001340022246	0.0005165484743	0	0	0	0.001924411146	0.0004130245593	0.000716358436	0	0.0005389909985	0	0.0003336566638	0	0	0	0	0	0.001103506925	0	0.00102619749	0.0002106232007	0	0.0004554418549	0	0.001092127092	0.001627639181	0.0002407468066	0.0006374285594	0	0.001138279192	0	0	0.07389834999	0.0003368594298	0.0009227867938	0.0002382289568	0.00005126039358	0.0006684611912	0.0003096818278	0.00055401007	0.0005043541938	0.0002256229903	0.0003243844661	0.0004458967744	0.0007612227013	0.0005514997332	0.0003025664273	0	0.0002001106559	0.0001263315321	0.0001525403553	0.0006763773632	0.000599355694	0.0007259383238	0.0007507195503	0.0006684050878	0.0004272215299
citrate/isocitrate	0	0.9976405806	0.9933364888	0.9964183536	0.9790972635	0.994515696	0.9857835867	0.9992133022	0.9963690125	0.9998951471	0.993348918	0.9965094474	0.9902197186	0.9951497814	0.9491986883	0.9964870285	0.9937386467	0.9981567487	0.985695239	0.9925532871	0.9765077184	0.9990904034	0.9972165621	0.9950475273	0.9948733948	0.9987080045	0.9926789983	0.9937856517	0.9825673544	0.9981952067	0.9967912542	1	0.9838199141	0.9896564314	0.9872192643	0.9838579125	0.9922902586	0.9893558471	0.9966156134	0.9983434566	0.991011205	0.9916992937	0.9829287623	0.9841468425	0.9792482634	0.9795597732	0.9905072468	0.9869580113	0.9916137183	0.9922362464	0.9926948151	0.9935675092	0.9848131213	0.9838520672	0.9880997984	0.9872957163	0.9868728907	0.987069034
citrate/isocitrate	1	0.002280429098	0.002019500813	0.0001852862786	0.01353405122	0.004897136831	0.01028363667	0	0	0.0001048529022	0	0.002660521001	0.006444426455	0.003011280857	0.02911506031	0	0	0	0.008915180881	0.004751175694	0.01203447053	0	0	0.003959343792	0.005126605158	0	0.003776035064	0.00471801262	0.009009282875	0	0	0	0.01215992679	0.00768163852	0.01124205834	0.01173992675	0.004158457426	0.003458970334	0	0	0.005791191802	0.006553596216	0.01188710897	0.01185736019	0.01218002389	0.01221686199	0.007054596027	0.01013897417	0.005623414095	0.005385873006	0.002658365476	0.002580439513	0.0103177226	0.01087951617	0.006683448582	0.007188514813	0.008543679472	0.00770249237
citrate/isocitrate	2	0	0.004203153554	0.003088391032	0.006780314686	0.0005160257786	0.003523546014	0.0005702741011	0.003230882866	0	0.002806209629	0.0007163661697	0.003036738798	0.001338825788	0.01998431914	0.001655438357	0.003978113078	0.001333247887	0.004838269075	0.002301639513	0.01058371987	0.0008405008696	0.002402448166	0.0008528807236	0	0.001274220859	0.003105596066	0.001231601518	0.008197405648	0.00180479328	0	0	0.003508426518	0.002267215716	0.001154298742	0.003763442867	0.002311256764	0.002961003734	0.003384386569	0.001656543422	0.002909120245	0.001721658493	0.00488748974	0.003868466496	0.006282873108	0.006415133678	0.002277948219	0.002488261019	0.002581699385	0.002208770843	0.003059682728	0.003201006071	0.004529070728	0.005023103013	0.002250538827	0.001608737706	0.004440029556	0.005086764431
citrate/isocitrate	3	0	0.0001269414539	0.0003079691031	0.0005883705802	0.00007114134837	0.0004092306254	0.0002164236732	0.0002114831918	0	0	0.0001136654295	0.0002991161381	0.0001798025714	0.0007601616074	0.001083828334	0.0009674833603	0	0.0001881451023	0.000258410118	0.0007713316606	0.00006909573326	0.0003809897733	0.0001402481866	0	0.00001777466156	0.0003627168702	0.0002647341474	0.00009117608598	0	0.003208745815	0	0.00006445196522	0.0002840005387	0.0001735732007	0.0005230527482	0.0003584796388	0.0001567794223	0	0	0.0002240335268	0.00002545161216	0.0001219057885	0.0001273308035	0.001095885796	0.001174370307	0.0001602089857	0.0004147535254	0.0001811682555	0.0001691097744	0.00008767253099	0.0001050900824	0.0002492359867	0.00003692123238	0	0.0003374976242	0.00009607563116	0.00008936468951
citrate/isocitrate	4	0	0	0	0	0	0	0	0	0	0.00384487241	0	0	0	0	0.00009386491932	0.0006129290908	0	0.0001728798036	0	0.0000241495864	0	0	0	0	0	0.00007665368746	0	0	0	0	0	0.000346451702	0	0.00008435508795	0	0	0	0	0	0.00006444939169	0	0.0001747332293	0	0.0007297534999	0.00004625272707	0	0	0	0	0	0.0002767860739	0	0	0.00005463781444	0	0	0
citrate/isocitrate	5	0.00007899026608	0	0	0	0	0	0	0.000188621414	0	0	0	0	0.0003203094136	0.0009417706427	0.0006798399331	0.0007028277285	0.0005100034053	0.0001902861031	0.0001354876175	0.00007860995413	0	0	0	0	0	0	0	0.0001347810177	0	0	0	0.0001008288861	0	0	0	0	0	0	0	0	0	0	0	0.0004632002673	0.0005876081078	0	0	0	0	0	0	0	0.0001326811385	0	0	0	0
citrate/isocitrate	6	0	0.0003139153773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001107138408	0.0001264503542	0.0001156651132	0.000881547524	0.004067399458	0	0	0	0	0	0	0	0	0	0	0	0	0.001499464123	0.0002691690618	0.00009084938828	0.00007571121314	0.002911576372	0.003569533532	0.00004732460908	0.00005234451715
succinate	0	0.998037165	0.9947672785	0.9964210822	0.9728054952	0.9964460705	0.9901066686	0.9970365591	0.9901492496	1	1	0.9983615447	0.9945146549	0.9962340606	0.9500037197	0.9945415487	0.9670480932	1	0.9959064324	0.9983823197	0.9743163072	0.9974562924	0.9926651536	0.9979261383	1	0.9961188135	0.9894783388	0.9989554308	0.9892156105	0.9948316803	0.9942582477	1	0.9871160254	0.9903467504	0.991421582	0.9887290581	0.9922650092	0.9915764004	1	1	0.9957269586	0.9943836913	0.9854812978	0.9833698274	0.9805029719	0.9788465551	0.9938436387	0.9938797513	0.9853783041	0.9867637288	0.994690305	0.9949883715	0.9890308809	0.9875489867	0.993461466	0.9916031318	0.9910847867	0.9905503599
succinate	1	0.001962835039	0.004491995554	0.002656028057	0.02117025968	0.003329629712	0.007714627246	0.002752564008	0.007902482715	0	0	0.001577507454	0.004495124159	0.003201226428	0.03461102359	0.002995395793	0.01529531751	0	0.003633932883	0.0009274063925	0.01775745148	0.002543707617	0.005681583034	0.001702871807	0	0.003821891031	0.00869884162	0.001044569188	0.007592383673	0.00477174828	0.005391276761	0	0.0112363282	0.007926624033	0.007577420147	0.009078081545	0.00699632562	0.007464397068	0	0	0.003807930934	0.005155454073	0.01064625839	0.01318018815	0.01117754619	0.01219584349	0.005888948518	0.00567650691	0.01132558924	0.01057831438	0.004709499994	0.004931105473	0.007758898745	0.00896944936	0.005292117977	0.007260402345	0.006470224874	0.006766762205
