Compound	BAT-xz971	BAT-xz972	Br-xz971	Br-xz972	Dia-xz971	Dia-xz972	gas-xz971	gas-xz972	gWAT-xz971	gWAT-xz972	H-xz971	H-xz972	Kid-xz971	Kid-xz972	Liv-xz971	Liv-xz972	Lu-xz971	Lu-xz972	Pc-xz971	Pc-xz972	Q-xz971	Q-xz972	SI-xz971	SI-xz972	Sol-xz971	Sol-xz972	Sp-xz971	Sp-xz972	BAT-xz981	BAT-xz982	Br-xz981	Br-xz982	Dia-xz981	Dia-xz982	gas-xz981	Gas-xz982	gwat-xz981	gwat-xz982	H-xz981	H-xz982	Kd-xz981	Kd-xz982	Liv-xz981	Liv-xz982	Lu-xz981	Lu-xz982	Pc-xz981	Pc-xz982	Q-xz981	Q-xz982	SI-xz981	SI-xz982	sol-xz981	sol-xz982	Sp-xz981	Sp-xz982
Glucose	9599112.68414119	15565354.1860082	481379.86936945	1225481.72139033	6365385.55127311	10073553.0992993	7316707.95443417	6729201.02849932	10855959.4284457	7219809.29620736	8873104.29555029	6509747.59220675	28789891.0944252	11646280.4433439	40599154.6115562	29618004.616117	11736008.5643144	20475622.2592868	6667081.351171	7014795.51672942	9199841.79054266	2950915.2669018	16997338.6004304	60623.7482232889	2544007.04156173	3450173.55394979	8249710.36947184	7809085.92948792	1862358.13462807	496958.276171188	941478.519190922	1107449.67199463	16532376.7585519	22478388.1531011	12598850.2513587	16769231.545519	2924572.73300161	1488727.78782378	4300758.326249	6177853.71718562	21382757.2894489	18694476.8863008	64496558.3630024	67144871.4097478	21458067.3789113	22869671.0670598	8458907.29149084	8962126.30452626	12656217.848736	11293893.2054751	4827897.14799527	4321469.54196435	4753579.79310469	4615797.77449461	11635685.9886273	10949089.1625328
lactate	75977522.958124	100096525.308797	143218486.407189	250776656.003115	140061378.192188	87834102.3442947	177558649.506314	211211653.274658	17683740.6770991	20570327.3656552	242224439.264744	249487302.407138	113996875.440108	44778640.2872551	33192894.2037917	50175846.0590928	97257878.7467327	108001338.116802	39183437.1170184	50511398.6725501	202761376.641002	98386342.312763	83212106.9217997	5127837.44252939	106631029.690697	132429600.725865	41009128.4253325	74393952.0835124	51329980.1358247	32496483.5632558	234928392.788397	244276907.524533	213533416.382076	256498987.39935	274561131.309709	381400409.867937	9789489.51362144	5716031.9009387	354754122.490549	332625917.960149	201306048.641261	188447749.304194	122849415.124999	112405720.655111	158037197.236206	161176986.986715	57088210.6962439	51452971.7853847	322880841.85152	319563205.474639	115385381.839027	118498080.592687	145352607.229018	149505221.596627	89302038.5558097	98576400.0336087
pyruvate	2706105.54216733	2464176.86571454	1031923.10703299	1089713.5466792	5888097.00532277	6109722.06388376	17810135.2970158	21240557.5926084	1784978.28558616	1447785.77878762	3870319.38080662	2696319.11586729	1001685.98656462	770809.663071877	1478866.18302738	480525.618665509	11761447.2067303	15707757.3395512	725863.150209892	1231235.97442604	20653539.2660822	1066612.92733465	7104278.20942553	4251.95910722526	5635277.39395766	8878041.9903978	6560220.45624354	3415558.63095554	11136256.5352213	7959066.45962536	11550635.0368925	7954143.81813743	24893719.1822733	26461352.9799849	68228184.0505842	110342329.279895	18344224.1696027	11479471.4607602	15411233.8546408	13743042.4283818	13429509.5486075	15939366.7424902	33503243.2877996	29032421.9313324	78147694.743931	115949714.522069	15643734.6079254	18844151.1020356	107561940.509703	68482044.1983604	36822900.4427915	34578640.8858642	26159539.0042934	24623117.4475007	25322535.2155075	26282836.7032517
citrate/isocitrate	32438452.4114033	12244483.7545213	14495621.4500215	16857193.8363902	36907234.9824701	40426568.7611176	15970971.1552575	11768730.9936303	285646499.674	513554.164529794	27680155.7157055	19191368.3213932	50852478.3616254	10168998.8105818	13075264.6640321	5178341.34408872	9940708.75590901	45608527.3434739	46061198.4401677	34249079.5963552	31408945.1097743	3461403.5619379	39725383.6273395	51702.8367475269	29140543.7129492	18706755.9141497	45894828.9337282	48848093.2419795	784619.552962201	235944.429513599	20639540.5879025	19531230.3399035	44327146.9719235	35207417.7604827	19370645.6263369	22940681.0368938	1156534.50736252	462175.7476967	32215963.0476024	37777931.5474187	31815999.3103545	32990329.308095	15856845.4122647	15186686.858681	57228145.7185335	64803692.8169266	159887107.976309	101782250.64041	16081171.2250659	13881064.7329473	44987151.7528687	43375287.1575704	22969093.4457929	20567926.9800579	57548039.9529748	50826264.7716354
succinate	150088435.61668	209960786.443883	75271262.9863271	122510072.350594	148208748.134396	88851400.7327747	76282744.2978729	92682549.6859628	6249895.87232068	2843666.33070483	195474964.478203	236531034.738851	159887940.656984	69265109.3012877	64276273.7383022	68930922.7468577	7695295.37392864	15570302.8695253	29162332.673283	50661791.9650235	78894734.7625892	30285258.459071	41331870.1226188	3576717.68296282	88848127.4277021	115131281.545273	25660789.0698891	42439745.058109	39338480.5900594	26629626.9844597	58129331.0733747	61776032.2768925	98096484.8974555	71371197.3962423	49006842.4509682	59784902.3000438	4042342.52395288	2692817.43882574	156790211.935978	144270156.608008	97079146.5631597	91278492.7779949	49807692.4648848	51292288.7302183	18043435.981219	16769207.9579562	42389303.1667406	28113183.7183303	46131216.8292197	50463985.4085397	42127643.8014226	41122225.9056721	56381215.3639697	60315293.5659823	26075998.1764788	29497659.253273
malate	38556461.619488	45881717.6961665	64405417.622018	94037550.0682267	254668478.231076	156069278.324635	95497291.8306558	78329988.627215	26913965.3772152	3407634.64946281	140094781.11413	108553586.049098	146734738.466799	63450431.7977577	113005095.819307	69499372.8318286	42311321.4431448	79143327.6307231	87459000.315504	55022685.0899728	104430108.99071	12048851.0073638	83599067.0073358	1056571.65422681	161374203.222091	128157564.75359	64255258.2482348	77720259.3000349	7872384.04072081	3662176.48522568	83861369.518249	78400111.6357969	178293094.069509	160554048.603698	41791370.7374046	49450242.4858723	9176039.08130171	3782310.82220365	141552299.64557	140377777.865349	77614739.1919586	69162380.5463934	36734406.0928577	37400444.1474518	64305456.6591249	60474202.9330911	62684895.9535719	40625104.7736863	38450301.2786828	34122396.1462391	182169552.677615	121025415.208116	99919232.2080592	98671611.5707882	70280407.4899236	71163811.2961947
a-ketoglutarate	1618695.11736725	2370309.15781134	1692965.42279341	2327924.76060308	9842211.39539484	16197598.8024964	2557672.5203974	1929629.60212163	5467484.70341887	1644306.66276917	2377429.14323306	2528637.49569017	1860590.88351379	675269.25359318	1584209.57129289	1174057.62555462	7954593.61642258	14521644.1385266	8927925.45646089	5933601.93988868	2743359.87986281	543075.694695641	12298301.7096336	334911.030900044	5171065.05718679	3016776.79740136	9657582.5960058	5430595.33297385	115691.336218592	53651.4602030199	4001067.45756464	4170314.77454333	2340977.40025291	2254445.48824305	1377777.15440091	1214136.37355189	1575484.27515107	778252.29831241	2120150.33405115	1808458.66207456	1957836.60387156	2105844.93728801	1217754.72719304	1108743.974349	6157546.03021468	7657903.42435253	4349073.14523075	3459547.70896306	847871.140962005	588675.608667704	5716724.50668199	6130695.94061902	1174600.59665463	1084696.78073672	4075727.36535907	4456683.32630671
