Compound	C_Label	bat-xz969	bat-xz970	bkbk1123	Br-xz969	Br-xz970	dia-xz969	dia-xz970	gas-xz969	gas-xz970	gwat-xz969	gwat-xz970	H-xz969	H-xz970	Kid-xz969	Kid-xz970	Liv-xz969	Liv-xz970	Lu-xz969	Lu-XZ970	Pc-xz969	Pc-xz970	q-xz969	q-xz970	si-xz969	si-xz970	sol2-xz969	sol-xz969	sol-xz970	Sp-xz969	Sp-xz970	BAT-xz979	Br-xz979	Dia-xz979	Gas-xz979	gwat-xz979	H-xz979	Kd-xz979	Liv-xz979	Lu-xz979	Pc-xz979	Q-xz979	SI-xz979	Sol-xz979	Sp-xz979
pyruvate	0	1	1	1	0.9999056966	1	1	0.9992254445	1	0.9960502745	1	1	1	1	1	1	0.9852670259	0.9859325599	0.9982197777	1	1	0.9982317221	1	0.9983153563	1	1	1	1	0.9986719902	1	0.9978483098	0.9919749271	1	0.9979843552	0.9965304479	0.9891837338	0.999297581	0.9949185193	0.9942031494	0.9926143052	0.9903073986	0.994914969	0.9882641316	0.9928249174	0.9863879858
pyruvate	1	0	0	0	0.0000943034274	0	0	0	0	0.003731514244	0	0	0	0	0	0	0.01473297405	0.0140674401	0	0	0	0	0	0.0009522877974	0	0	0	0	0	0	0	0.007314128588	0	0.001903103376	0.003282536486	0.009594385384	0	0.003814153678	0.005062627474	0.005294326955	0.008754858563	0.00499044679	0.01089081514	0.006729240567	0.01247082236
pyruvate	2	0	0	0	0	0	0	0.0007745554968	0	0.0002182112832	0	0	0	0	0	0	0	0	0.001780222319	0	0	0.001768277868	0	0.0007323559101	0	0	0	0	0.001328009767	0	0.002151690235	0.0005944995484	0	0.0001125414169	0.0001870155962	0.001221880799	0.00007952958019	0.001267326993	0.0007342230858	0.001129115716	0.000840316717	0.00009458420433	0.0008089680802	0.0003781588292	0.001079136609
pyruvate	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001164447333	0	0	0	0	0.0006228894126	0	0	0.0009622521104	0.00009742615412	0	0.00003608518206	0.00006768322083	0.00006205520761
citrate/isocitrate	0	1	0.9478357298	1	0.9864906261	0.9816208915	1	0.9342707378	0.9986375234	0.9690621347	0.9547713014	1	0.9237448958	0.980562038	1	0.9803860195	0.9875027715	0.9825930171	0.9361074151	0.94779452	0.9789915744	0.9613924327	1	0.9571272041	1	0.9409064196	0.9916652375	0.9929004713	0.9441215113	0.9527828041	0.9233476141	0.961521495	0.9707679995	0.9331400224	0.9260872559	0.9620540791	0.9055920585	0.9309397985	0.9445840424	0.9410183503	0.9706883846	0.9505376088	0.9418740251	0.9419117208	0.9225907233
citrate/isocitrate	1	0	0.02851978879	0	0.0101631295	0.01350973819	0	0.03878744142	0.001362476564	0.01517851991	0.04522869863	0	0.04366296286	0.01943796199	0	0.01285342985	0	0.002315842333	0.03521762353	0.02856951221	0.004919239074	0.0225191208	0	0.02504411422	0	0.05909358038	0	0.007099528664	0.03277329655	0.01904388128	0.03490448927	0.02476035927	0.02287959844	0.04011824611	0.05457600235	0.01771160506	0.05420385729	0.03664841512	0.03121988453	0.02682098791	0.01701417336	0.02887019912	0.03102747795	0.03406248927	0.03214621611
citrate/isocitrate	2	0	0.02364448137	0	0.003346244421	0.004869370309	0	0.02611482172	0	0.0156299891	0	0	0.0312705204	0	0	0.006736112636	0.0124972285	0.01429315845	0.02764075193	0.02236083901	0.01556583142	0.01542466903	0	0.01782868173	0	0	0.008334762462	0	0.02207656123	0.02817331467	0.04018773876	0.01056171292	0.00599850345	0.02583482901	0.01857977888	0.02023431587	0.03869678696	0.0314133906	0.02371495603	0.0313283781	0.01204871078	0.0197344058	0.02610882529	0.0231889278	0.04371869476
citrate/isocitrate	3	0	0	0	0	0	0	0.0006397704309	0	0.000129356334	0	0	0.0009705259038	0	0	0.00002443797065	0	0	0.0009432037853	0.0009564512959	0.000523355091	0.0004954536282	0	0	0	0	0	0	0.001028630904	0	0.001380504649	0	0	0.0007574268961	0.0005991506507	0	0.001237621919	0.0007168992917	0.0002436493236	0.0003151641561	0.0001710161239	0.0006006226124	0.0007046586059	0.0008368621435	0.0009246468812
citrate/isocitrate	4	0	0	0	0	0	0	0.0001872286166	0	0	0	0	0.0003510950046	0	0	0	0	0	0.00009100568402	0.0003186774866	0	0.0001683238231	0	0	0	0	0	0	0	0	0.0001796531987	0.003156432771	0	0.00006726002461	0	0	0.000269675349	0.0002066823215	0	0.000517119547	0	0	0.0002075742891	0	0.0005492162235
citrate/isocitrate	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
