Sample Name	Date Collected	Researcher Name	Tissue	Collection Time	Animal ID
bat-xz969	11/18/2020	Xianfeng Zhang	BAT	150	969
Br-xz969	11/18/2020	Xianfeng Zhang	Brain	150	969
dia-xz969	11/18/2020	Xianfeng Zhang	Diaphragm	150	969
gas-xz969	11/18/2020	Xianfeng Zhang	Gastrocnemius	150	969
gwat-xz969	11/18/2020	Xianfeng Zhang	gWAT	150	969
H-xz969	11/18/2020	Xianfeng Zhang	Heart	150	969
Kid-xz969	11/18/2020	Xianfeng Zhang	Kidney	150	969
Liv-xz969	11/18/2020	Xianfeng Zhang	Liver	150	969
Lu-xz969	11/18/2020	Xianfeng Zhang	Lung	150	969
Pc-xz969	11/18/2020	Xianfeng Zhang	Pancreas	150	969
q-xz969	11/18/2020	Xianfeng Zhang	Quad	150	969
si-xz969	11/18/2020	Xianfeng Zhang	Small Intestine	150	969
sol2-xz969	11/18/2020	Xianfeng Zhang	Soleus	150	969
sol-xz969	11/18/2020	Xianfeng Zhang	Soleus	150	969
Sp-xz969	11/18/2020	Xianfeng Zhang	Spleen	150	969
bat-xz970	2020-11-19	Xianfeng Zhang	BAT	150	970
Br-xz970	2020-11-19	Xianfeng Zhang	Brain	150	970
dia-xz970	2020-11-19	Xianfeng Zhang	Diaphragm	150	970
gas-xz970	2020-11-19	Xianfeng Zhang	Gastrocnemius	150	970
gwat-xz970	2020-11-19	Xianfeng Zhang	gWAT	150	970
H-xz970	2020-11-19	Xianfeng Zhang	Heart	150	970
Kid-xz970	2020-11-19	Xianfeng Zhang	Kidney	150	970
Liv-xz970	2020-11-19	Xianfeng Zhang	Liver	150	970
Lu-XZ970	2020-11-19	Xianfeng Zhang	Lung	150	970
Pc-xz970	2020-11-19	Xianfeng Zhang	Pancreas	150	970
q-xz970	2020-11-19	Xianfeng Zhang	Quad	150	970
si-xz970	2020-11-19	Xianfeng Zhang	Small Intestine	150	970
sol-xz970	2020-11-19	Xianfeng Zhang	Soleus	150	970
Sp-xz970	2020-11-19	Xianfeng Zhang	Spleen	150	970
BAT-xz971	2020-11-19	Xianfeng Zhang	BAT	150	971
Br-xz971	2020-11-19	Xianfeng Zhang	Brain	150	971
Dia-xz971	2020-11-19	Xianfeng Zhang	Diaphragm	150	971
gas-xz971	2020-11-19	Xianfeng Zhang	Gastrocnemius	150	971
gWAT-xz971	2020-11-19	Xianfeng Zhang	gWAT	150	971
H-xz971	2020-11-19	Xianfeng Zhang	Heart	150	971
Kid-xz971	2020-11-19	Xianfeng Zhang	Kidney	150	971
Liv-xz971	2020-11-19	Xianfeng Zhang	Liver	150	971
Lu-xz971	2020-11-19	Xianfeng Zhang	Lung	150	971
Pc-xz971	2020-11-19	Xianfeng Zhang	Pancreas	150	971
Q-xz971	2020-11-19	Xianfeng Zhang	Quad	150	971
SI-xz971	2020-11-19	Xianfeng Zhang	Small Intestine	150	971
Sol-xz971	2020-11-19	Xianfeng Zhang	Soleus	150	971
Sp-xz971	2020-11-19	Xianfeng Zhang	Spleen	150	971
BAT-xz972	2020-11-19	Xianfeng Zhang	BAT	150	972
Br-xz972	2020-11-19	Xianfeng Zhang	Brain	150	972
Dia-xz972	2020-11-19	Xianfeng Zhang	Diaphragm	150	972
gas-xz972	2020-11-19	Xianfeng Zhang	Gastrocnemius	150	972
gWAT-xz972	2020-11-19	Xianfeng Zhang	gWAT	150	972
H-xz972	2020-11-19	Xianfeng Zhang	Heart	150	972
Kid-xz972	2020-11-19	Xianfeng Zhang	Kidney	150	972
Liv-xz972	2020-11-19	Xianfeng Zhang	Liver	150	972
Lu-xz972	2020-11-19	Xianfeng Zhang	Lung	150	972
Pc-xz972	2020-11-19	Xianfeng Zhang	Pancreas	150	972
Q-xz972	2020-11-19	Xianfeng Zhang	Quad	150	972
SI-xz972	2020-11-19	Xianfeng Zhang	Small Intestine	150	972
Sol-xz972	2020-11-19	Xianfeng Zhang	Soleus	150	972
Sp-xz972	2020-11-19	Xianfeng Zhang	Spleen	150	972
BAT-xz979	2020-12-02	Xianfeng Zhang	BAT	150	979
Br-xz979	2020-12-02	Xianfeng Zhang	Brain	150	979
Dia-xz979	2020-12-02	Xianfeng Zhang	Diaphragm	150	979
Gas-xz979	2020-12-02	Xianfeng Zhang	Gastrocnemius	150	979
gwat-xz979	2020-12-02	Xianfeng Zhang	gWAT	150	979
